时间,city,数值
2014-01-13,舟山市,0.36949482560157776
2014-01-13,衢州市,5.389887730280557
2014-01-13,金华市,0.0013814881030056211
2014-01-14,丽水市,5.1431702507866754
2014-01-14,台州市,20.317017449273003
2014-01-14,嘉兴市 ,27.491914885384695
2014-01-14,宁波市,45.96012527942658
2014-01-14,杭州市,63.98191044330597
2014-01-14,温州市,22.66172938346863
2014-01-14,湖州市,12.794295883178712
2014-01-14,绍兴市,21.86615300178528
2014-01-14,舟山市,36.24172163754701
2014-01-14,衢州市,6.410070498784383
2014-01-14,金华市,13.938554498884413
2014-01-15,丽水市,4.033498287200928
2014-01-15,台州市,17.59856912824843
2014-01-15,嘉兴市 ,23.27084868294852
2014-01-15,宁波市,42.04410989284516
2014-01-15,杭州市,62.86198642253877
2014-01-15,温州市,21.3420339345932
2014-01-15,湖州市,10.348494815826417
2014-01-15,绍兴市,20.26826620101929
2014-01-15,舟山市,30.81438529491425
2014-01-15,衢州市,4.880621035893758
2014-01-15,金华市,12.955038600497776
2014-01-16,丽水市,1.5160387452277873
2014-01-16,台州市,16.00969073507521
2014-01-16,嘉兴市 ,22.82951899937221
2014-01-16,宁波市,41.02183630168438
2014-01-16,杭州市,5.628967732191085
2014-01-16,温州市,12.531814873218536
2014-01-16,湖州市,1.9399420037865638
2014-01-16,绍兴市,17.533336937427517
2014-01-16,舟山市,30.723983971402046
2014-01-16,衢州市,1.0870458756883938
2014-01-16,金华市,8.729144364595413
2014-01-17,丽水市,3.3706800010469227
2014-01-17,台州市,15.731662829717001
2014-01-17,嘉兴市 ,25.861350740705216
2014-01-17,宁波市,20.48802785873413
2014-01-17,杭州市,45.47549359798431
2014-01-17,温州市,19.178273594379426
2014-01-17,湖州市,15.600797271728515
2014-01-17,绍兴市,20.45563530921936
2014-01-17,舟山市,31.894201861694466
2014-01-17,衢州市,5.045405308405559
2014-01-17,金华市,12.120037370257908
2014-01-18,丽水市,2.9557168086369834
2014-01-18,台州市,18.433247751659817
2014-01-18,嘉兴市 ,27.040963990347727
2014-01-18,宁波市,35.83810179233551
2014-01-18,杭州市,60.29381000995636
2014-01-18,温州市,21.195552945137024
2014-01-18,湖州市,14.061746025085446
2014-01-18,绍兴市,21.460142374038696
2014-01-18,舟山市,32.986815238371506
2014-01-18,衢州市,4.967159112294515
2014-01-18,金华市,12.091453274091085
2014-01-19,丽水市,2.4961757130093045
2014-01-19,台州市,18.800067636701797
2014-01-19,嘉兴市 ,23.818188667297363
2014-01-19,宁波市,39.39077978134155
2014-01-19,杭州市,55.11911325454713
2014-01-19,温州市,14.848459219932556
2014-01-19,湖州市,12.470962715148925
2014-01-19,绍兴市,20.287848114967346
2014-01-19,舟山市,24.79536634217948
2014-01-19,衢州市,4.501621425151826
2014-01-19,金华市,11.88532018661499
2014-01-20,丽水市,2.2124865319993763
2014-01-20,台州市,15.542233599556816
2014-01-20,嘉兴市 ,22.53498908451625
2014-01-20,宁波市,41.661782717704774
2014-01-20,杭州市,61.22942790687084
2014-01-20,温州市,18.11299592256546
2014-01-20,湖州市,10.692795848846435
2014-01-20,绍兴市,18.86042022705078
2014-01-20,舟山市,30.055237198248502
2014-01-20,衢州市,3.415514508883158
2014-01-20,金华市,10.956559366650051
2014-01-21,丽水市,3.22841833697425
2014-01-21,台州市,19.954311079449123
2014-01-21,嘉兴市 ,23.561294419424875
2014-01-21,宁波市,42.20257906913757
2014-01-21,杭州市,67.58069225549698
2014-01-21,温州市,20.578297710418703
2014-01-21,湖州市,11.79118709564209
2014-01-21,绍兴市,20.210962653160095
2014-01-21,舟山市,31.737565833143897
2014-01-21,衢州市,4.891445954640706
2014-01-21,金华市,12.797153817282783
2014-01-22,丽水市,3.351879609955682
2014-01-22,台州市,17.131705813937717
2014-01-22,嘉兴市 ,24.025666781834193
2014-01-22,宁波市,42.80637638568878
2014-01-22,杭州市,64.56437128782271
2014-01-22,温州市,20.82407112121582
2014-01-22,湖州市,12.512177848815917
2014-01-22,绍兴市,20.719478964805603
2014-01-22,舟山市,31.702115423977364
2014-01-22,衢州市,5.287418405214946
2014-01-22,金华市,12.697081089019775
2014-01-23,丽水市,3.7867379585901895
2014-01-23,台州市,18.71163018544515
2014-01-23,嘉兴市 ,27.299612181527273
2014-01-23,宁波市,44.357810854911804
2014-01-23,杭州市,70.22376409769058
2014-01-23,温州市,22.38913514614105
2014-01-23,湖州市,14.331741905212402
2014-01-23,绍兴市,22.858309149742126
2014-01-23,舟山市,33.71571792848409
2014-01-23,衢州市,5.768285036087036
2014-01-23,金华市,13.940508100721571
2014-01-24,丽水市,4.370266358057658
2014-01-24,台州市,20.477173063490127
2014-01-24,嘉兴市 ,7.14358377456665
2014-01-24,宁波市,52.315740036964414
